id,name,city,country,league,conference,founded_year,arena,capacity,head_coach,nickname,image_url,website,description,ranking,category,titles,playoff_appearances,market_value,current_season_record,star_player,owner,general_manager,honors_json,last_updated
58,Shanghai Sharks,China,China,China Basketball Leagues,Western,1956,Shanghai Sharks Arena,13550,TBD,Sharks,https://upload.wikimedia.org/wikipedia/en/3/38/Shanghai_Sharks_logo.png,https://en.wikipedia.org/wiki/Shanghai_Sharks,No description available.,1414,men,5,36,€1M,23-17,TBD,TBD,TBD,"{""China Basketball Leagues Titles"": 5}",2026-05-12T21:05:44.131508+00:00
1479,Panathinaikos B.C.,Greece,Greece,Greece Basketball Leagues,Western,1973,Panathinaikos B.C. Arena,17741,TBD,B.C.,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Panathinaikos_BC_logo.svg/330px-Panathinaikos_BC_logo.svg.png,https://en.wikipedia.org/wiki/Panathinaikos_B.C.,"Panathinaikos B.C., also simplified to Panathinaikos or PAO and officially referred to as Panathinaikos AKTOR Athens for sponsorship reasons, is the professional basketball team of the major Athens-based multi-sport club Panathinaikos A.O.. It is owned by the Giannakopoulos family.",1661,men,1,15,€19M,13-10,TBD,TBD,TBD,"{""Greece Basketball Leagues Titles"": 1}",2026-05-12T21:26:12.769797+00:00
3,Golden State Warriors,San Francisco,USA,NBA,Western,1946,Chase Center,18064,Steve Kerr,Warriors,https://upload.wikimedia.org/wikipedia/en/thumb/0/01/Golden_State_Warriors_logo.svg/330px-Golden_State_Warriors_logo.svg.png,https://en.wikipedia.org/wiki/Golden_State_Warriors,"The Golden State Warriors are an American professional basketball team based in San Francisco. The Warriors compete in the National Basketball Association (NBA) as a member of the Pacific Division of the Western Conference. Founded in 1946 in Philadelphia, the Warriors moved to the San Francisco Bay Area in 1962 and took the city's name before changing its geographic moniker to Golden State in 1971. The team plays its home games at Chase Center.",3,men,7,37,$7.7B,46-36,Stephen Curry,Joe Lacob,Mike Dunleavy Jr.,"{""NBA Championships"": 7, ""Conference Titles"": 10, ""Division Titles"": 12}",2026-04-27T07:13:09.446717+00:00
4,Chicago Bulls,Chicago,USA,NBA,Eastern,1966,United Center,20917,Billy Donovan,Bulls,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/330px-Chicago_Bulls_logo.svg.png,https://en.wikipedia.org/wiki/Chicago_Bulls,"The Chicago Bulls are an American professional basketball team based in Chicago. The Bulls compete in the National Basketball Association (NBA) as a member of the Central Division of the Eastern Conference. The team was founded on January 16, 1966, and played its first game during the 1966–67 NBA season. The Bulls share their home arena with the National Hockey League's Chicago Blackhawks, playing in the newer United Center which replaced the former Chicago Stadium.",4,men,6,36,$4.6B,39-43,Zach LaVine,Jerry Reinsdorf,Marc Eversley,"{""NBA Championships"": 6, ""Conference Titles"": 6, ""Division Titles"": 9}",2026-04-27T07:13:11.953565+00:00
5,Miami Heat,Miami,USA,NBA,Eastern,1988,Kaseya Center,19600,Erik Spoelstra,Heat,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Miami_Heat_logo.svg/330px-Miami_Heat_logo.svg.png,https://en.wikipedia.org/wiki/Miami_Heat,"The Miami Heat are an American professional basketball team based in Miami. The Heat compete in the National Basketball Association (NBA) as a member of the Southeast Division of the Eastern Conference. The team plays its home games at Kaseya Center, and has won three NBA championships.",5,men,3,25,$3.9B,46-36,Jimmy Butler,Micky Arison,Pat Riley,"{""NBA Championships"": 3, ""Conference Titles"": 7, ""Division Titles"": 16}",2026-04-27T07:13:15.797997+00:00
3926,Tampa Bay Thrillers,the United States,the United States,the United States Basketball Leagues,Eastern,1963,Tampa Bay Thrillers Arena,8724,TBD,Thrillers,,https://en.wikipedia.org/wiki/Tampa_Bay_Thrillers,No description available.,4039,men,9,20,€10M,30-21,TBD,TBD,TBD,"{""the United States Basketball Leagues Titles"": 9}",2026-05-12T23:42:54.419895+00:00
3942,New Jersey Lightning,the United States,the United States,the United States Basketball Leagues,Western,1981,New Jersey Lightning Arena,12413,TBD,Lightning,https://upload.wikimedia.org/wikipedia/en/d/de/NewJerseyLightning.png,https://en.wikipedia.org/wiki/New_Jersey_Lightning,No description available.,2698,men,8,13,€3M,11-23,TBD,TBD,TBD,"{""the United States Basketball Leagues Titles"": 8}",2026-05-12T23:43:35.650572+00:00
1224,Equatorial Guinea men's national under-16 basketball team,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea Basketball Leagues,Eastern,1992,Equatorial Guinea men's national under-16 basketball team Arena,7822,TBD,team,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Equatorial_Guinea.svg/330px-Flag_of_Equatorial_Guinea.svg.png,https://en.wikipedia.org/wiki/Equatorial_Guinea_men's_national_under-16_basketball_team,No description available.,3342,men,3,26,€8M,25-18,TBD,TBD,TBD,"{""Equatorial Guinea Basketball Leagues Titles"": 3}",2026-05-12T21:11:00.033829+00:00
1225,Malabo Kings,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea Basketball Leagues,Eastern,1966,Malabo Kings Arena,16395,TBD,Kings,https://upload.wikimedia.org/wikipedia/en/7/7a/Malabo_Kings_logo.png,https://en.wikipedia.org/wiki/Malabo_Kings,Malabo Kings BC is an Equatorial Guinean basketball club based in Malabo. The team was founded in 2011 and has won the national title twice.,4803,men,2,13,€2M,10-16,TBD,TBD,TBD,"{""Equatorial Guinea Basketball Leagues Titles"": 2}",2026-05-12T21:11:03.128003+00:00
1226,Nueva Era Basket Club,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea Basketball Leagues,Western,1975,Nueva Era Basket Club Arena,13561,TBD,Club,https://upload.wikimedia.org/wikipedia/en/1/1c/Nueva_Era_BC_logo.png,https://en.wikipedia.org/wiki/Nueva_Era_Basket_Club,"Nueva Era Basket Club is an Equatorial Guinean basketball team based in Malabo. The team was founded in 2021 by a group of basketball enthusiast, led by Jules Cesar Micha Nfono. The establishment of the Basketball Africa League (BAL) in the same year inspired them to provide a club for the youth of national basketball.",2237,men,2,13,€3M,18-27,TBD,TBD,TBD,"{""Equatorial Guinea Basketball Leagues Titles"": 2}",2026-05-12T21:11:04.925441+00:00
