id,name,country,confederation,founded_year,stadium,nickname,image_url,website,description,ranking,category,total_trophies,world_cup_titles,manager,captain,main_rivals,honors_json,last_updated
3,Argentina,Argentina,CONMEBOL,1900,National Stadium of Argentina,The Argentina Team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Argentina_national_football_team_logo.svg/330px-Argentina_national_football_team_logo.svg.png,https://en.wikipedia.org/wiki/Argentina_national_football_team,The Argentina national men's football team.,3,men,19,3,TBD,TBD,Neighboring Countries,"{""World Cup"": 3, ""Copa América"": 16}",2026-05-11T05:59:42.311501+00:00
6,Brazil,Brazil,CONMEBOL,1900,National Stadium of Brazil,The Brazil Team,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Confedera%C3%A7%C3%A3o_Brasileira_de_Futebol_logo_%282020%29.svg/330px-Confedera%C3%A7%C3%A3o_Brasileira_de_Futebol_logo_%282020%29.svg.png,https://en.wikipedia.org/wiki/Brazil_national_football_team,The Brazil national men's football team.,6,men,14,5,TBD,TBD,Neighboring Countries,"{""World Cup"": 5, ""Copa América"": 9}",2026-05-11T05:59:54.461570+00:00
8,Morocco,Morocco,CAF,1900,National Stadium of Morocco,The Morocco Team,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Royal_Moroccan_Football_Federation_logo.svg/330px-Royal_Moroccan_Football_Federation_logo.svg.png,https://en.wikipedia.org/wiki/Morocco_national_football_team,The Morocco national men's football team.,8,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 2}",2026-05-11T06:00:03.538960+00:00
2,Spain,Spain,UEFA,1900,National Stadium of Spain,The Spain Team,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Spain_national_football_team_crest.svg/330px-Spain_national_football_team_crest.svg.png,https://en.wikipedia.org/wiki/Spain_national_football_team,The Spain national men's football team.,2,men,5,1,TBD,TBD,Neighboring Countries,"{""World Cup"": 1, ""European Championship"": 4}",2026-05-11T05:55:36.121796+00:00
4,England,England,UEFA,1900,National Stadium of England,The England Team,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/England_national_football_team_crest.svg/330px-England_national_football_team_crest.svg.png,https://en.wikipedia.org/wiki/England_national_football_team,The England national men's football team.,4,men,1,1,TBD,TBD,Neighboring Countries,"{""World Cup"": 1, ""European Championship"": 0}",2026-05-11T05:55:46.196773+00:00
5,Portugal,Portugal,UEFA,1900,National Stadium of Portugal,The Portugal Team,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Portugal_National_Team_logo.png/330px-Portugal_National_Team_logo.png,https://en.wikipedia.org/wiki/Portugal_national_football_team,The Portugal national men's football team.,5,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 1}",2026-05-11T05:55:51.127728+00:00
7,Netherlands,Netherlands,UEFA,1900,National Stadium of Netherlands,The Netherlands Team,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Netherlands_national_football_team_logo.svg/330px-Netherlands_national_football_team_logo.svg.png,https://en.wikipedia.org/wiki/Netherlands_national_football_team,The Netherlands national men's football team.,7,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 1}",2026-05-11T05:55:58.378711+00:00
18,Japan,Japan,AFC,1900,National Stadium of Japan,The Japan Team,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Japan_national_football_team_crest.svg/330px-Japan_national_football_team_crest.svg.png,https://en.wikipedia.org/wiki/Japan_national_football_team,The Japan national men's football team.,18,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 2}",2026-05-11T06:02:51.044363+00:00
16,United States,United States,Unknown,1915,National Stadium of United States,The United States Team,,https://en.wikipedia.org/wiki/United_States_national_football_team,United States national football team may refer to:,16,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Continental Cup"": 0}",2026-05-08T04:15:44.004853+00:00
10,Germany,Germany,UEFA,1900,National Stadium of Germany,The Germany Team,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/DFBEagle.svg/330px-DFBEagle.svg.png,https://en.wikipedia.org/wiki/Germany_national_football_team,The Germany national men's football team.,10,men,7,4,TBD,TBD,Neighboring Countries,"{""World Cup"": 4, ""European Championship"": 3}",2026-05-11T05:56:11.241237+00:00
