id,name,country,ranking,highest_ranking,highest_ranking_date,birth_date,height,weight,playing_style,wins,losses,turned_pro,prize_money,image_url,gender,source,last_updated
631,Alex De Minaur,AUS,7,6,2024-07-15,1999-02-17,"6'0"" (183cm)",152 lbs (69kg),"Right-Handed, Two-Handed Backhand",320,187,2015,"$24,631,895",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Alex_de_Minaur_2024.jpg/330px-Alex_de_Minaur_2024.jpg,M,ATP Tour,2026-08-07T06:19:33.141654+00:00
648,Casper Ruud,NOR,14,2,2022-09-12,1998-12-22,"6'0"" (183cm)",178 lbs (81kg),"Right-Handed, Two-Handed Backhand",309,165,2015,"$28,216,069",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Ruud_RG22_%2858%29_%2852144535415%29.jpg/330px-Ruud_RG22_%2858%29_%2852144535415%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,M,ATP Tour,2026-08-07T06:19:33.141654+00:00
645,Frances Tiafoe,USA,20,10,2023-06-19,1998-01-20,"6'2"" (188cm)",190 lbs (86kg),"Right-Handed, Two-Handed Backhand",253,222,2015,"$16,752,425",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/FrancesTiafo.jpg/330px-FrancesTiafo.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,M,ATP Tour,2026-08-07T06:19:33.141654+00:00
889,Lois Boisson,FRA,,34,2026-02-02,2003-05-16,1.75m,,Right-handed (two-handed backhand),146,87,,"$1,191,713",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Boisson_BIA21_%2839%29_%2851377575387%29.jpg/330px-Boisson_BIA21_%2839%29_%2851377575387%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,F,WTA Tour Official,2026-05-15T05:02:01.849812+00:00
647,Arthur Rinderknech,FRA,29,24,2026-05-04,1995-07-23,"6'5"" (196cm)",193 lbs (88kg),"Right-Handed, Two-Handed Backhand",109,120,2018,"$6,942,876",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg/330px-Rinderknech_MCM22_%2816%29_%2852036912945%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,M,ATP Tour,2026-08-07T06:19:33.141654+00:00
652,Joao Fonseca,BRA,27,24,2025-11-03,2006-08-21,"6'2"" (188cm)",179 lbs (81kg),"Right-Handed, Two-Handed Backhand",48,32,,"$3,301,279",https://www.atptour.com/-/media/alias/player-gladiator-headshot/f0fv,M,ATP Tour,2026-07-30T05:01:15.710966+00:00
3399,Loan Lestir,FRA,,1696,,,,,,0,0,,,,M,ATP Tour,2026-05-07T09:40:29.892166+00:00
3401,Neo Niedner,GER,,1696,,,,,,0,0,,,,M,ATP Tour,2026-05-07T09:40:31.074802+00:00
3403,Jack Satterfield,USA,,1696,,,,,,0,0,,,,M,ATP Tour,2026-05-07T09:40:32.265283+00:00
674,Terence Atmane,FRA,46,41,2026-04-13,2002-01-09,"6'4"" (193cm)",176 lbs (80kg),"Left-Handed, Two-Handed Backhand",20,30,,"$1,957,871",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Terence_Atmane_%282024_DC_Open%29_01_%28cropped%29.jpg/330px-Terence_Atmane_%282024_DC_Open%29_01_%28cropped%29.jpg,M,ATP Tour,2026-08-07T06:19:33.141654+00:00
